기업명	기업코드	ESG등급	환경	사회	지배구조	평가년도
에스엘	5850	4	4	5	4	2023
에스엘	5850	3	4	5	2	2024
에스엠	41510	2	1	3	1	2020
에스엠	41510	3	1	3	3	2021
에스엠	41510	2	1	3	1	2022
에스엠	41510	4	5	5	4	2023
에스엠	41510	4	5	4	4	2024
에스엠벡셀	10580	1	1	1	1	2022
에스엠벡셀	10580	1	1	2	2	2023
에스엠벡셀	10580	1	1	1	2	2024
에스엠코어	7820	3	3	2	3	2020
에스엠코어	7820	2	1	2	3	2021
에스엠코어	7820	2	1	1	3	2022
에스엠코어	7820	2	1	2	3	2023
에스엠코어	7820	2	1	2	2	2024
에스원	12750	4	3	5	4	2020
에스원	12750	5	3	5	5	2021
에스원	12750	4	4	5	3	2022
에스원	12750	4	4	5	4	2023
에스원	12750	4	4	5	4	2024
에스제이엠	123700	2	2	3	2	2020
에스제이엠	123700	3	2	3	4	2021
에스제이엠	123700	1	1	2	2	2022
에스제이엠	123700	2	2	2	2	2023
에스제이엠	123700	2	2	2	2	2024
에스제이엠홀딩스	25530	3	2	3	3	2020
에스제이엠홀딩스	25530	3	2	3	3	2021
에스제이엠홀딩스	25530	2	1	2	2	2022
에스제이엠홀딩스	25530	2	2	2	2	2023
에스제이엠홀딩스	25530	2	2	2	2	2024
에스제이지세종	33530	1	2	2	1	2023
에스케이바이오팜	326030	5	4	6	5	2023
에스케이바이오팜	326030	5	4	6	5	2024
에스티큐브	52020	2	1	2	2	2020
에스티큐브	52020	2	1	2	3	2021
에스티큐브	52020	1	1	1	2	2023
에스티큐브	52020	1	1	1	1	2024
에스티팜	237690	3	1	4	4	2020
에스티팜	237690	5	4	5	5	2021
에스티팜	237690	4	3	4	5	2022
에스티팜	237690	5	5	5	5	2023
에스티팜	237690	5	5	6	4	2024
에스피지	58610	1	1	1	2	2024
에쓰씨엔지니어링	23960	2	2	3	3	2020
에쓰씨엔지니어링	23960	2	2	2	3	2021
에쓰씨엔지니어링	23960	1	1	1	1	2022
에쓰씨엔지니어링	23960	1	2	1	1	2023
에쓰씨엔지니어링	23960	1	2	1	1	2024
에어부산	298690	2	2	4	2	2020
에어부산	298690	2	2	3	1	2021
에어부산	298690	1	2	2	1	2022
에어부산	298690	2	2	3	1	2023
에어부산	298690	2	4	4	1	2024
에이리츠	140910	2	1	1	3	2023
에이리츠	140910	2	1	1	3	2024
에이블씨엔씨	78520	2	1	3	2	2020
에이블씨엔씨	78520	4	2	4	4	2021
에이블씨엔씨	78520	3	1	3	3	2022
에이블씨엔씨	78520	2	2	3	2	2023
에이블씨엔씨	78520	4	3	4	4	2024
에이비엘바이오	298380	3	1	3	5	2021
에이비엘바이오	298380	2	1	1	4	2022
에이비엘바이오	298380	2	1	1	4	2023
에이비엘바이오	298380	2	1	1	4	2024
에이스침대	3800	2	1	2	3	2022
에이스테크	88800	2	1	2	3	2021
에이스테크	88800	1	1	2	2	2022
에이스테크	88800	1	1	2	2	2023
에이엔피	15260	2	3	2	2	2020
에이엔피	15260	2	2	2	3	2021
에이엔피	15260	1	1	1	1	2022
에이엔피	15260	1	2	1	1	2023
에이엔피	15260	1	2	1	1	2024
에이치엘비	28300	2	1	3	2	2020
에이치엘비	28300	3	3	4	3	2021
에이치엘비생명과학	67630	2	1	2	2	2020
에이치엘비생명과학	67630	2	2	2	2	2021
에이치엘사이언스	239610	3	1	3	4	2021
에이프로젠	7460	1	1	1	1	2023
에이프로젠	7460	1	1	1	1	2024
에이프로젠 KIC	7460	2	2	1	2	2020
에이프로젠 MED	7460	2	1	2	2	2021
에이프로젠 MED	7460	1	1	1	1	2022
에이프로젠바이오로직스	3060	1	1	1	1	2023
에이프로젠바이오로직스	3060	1	2	1	1	2024
에이프로젠제약	3060	2	1	2	2	2020
에이프로젠제약	3060	2	1	2	2	2021
에이프로젠제약	3060	1	1	1	1	2022
에이플러스에셋	244920	1	1	1	2	2022
에이플러스에셋	244920	2	1	2	2	2023
에이플러스에셋	244920	1	1	1	2	2024
에이피티씨	89970	2	1	1	4	2022
에치에프알	230240	1	1	1	1	2024
에코마케팅	230360	2	1	2	3	2021
에코마케팅	230360	2	1	1	3	2022
에코마케팅	230360	2	1	2	3	2023
에코마케팅	230360	2	1	1	3	2024
에코프로	86520	3	2	4	4	2020
에코프로	86520	4	3	4	4	2021
에코프로	86520	2	2	3	1	2022
에코프로	86520	2	4	5	1	2023
에코프로	86520	2	3	4	1	2024
에코프로비엠	247540	3	3	3	4	2021
에코프로비엠	247540	3	2	4	3	2022
에코프로비엠	247540	3	4	5	2	2023
에코프로비엠	247540	2	3	4	1	2024
에코프로에이치엔	383310	3	2	3	4	2023
에코프로에이치엔	383310	3	3	3	4	2024
에프에스티	36810	1	1	1	1	2022
에프에스티	36810	2	4	4	1	2023
에프에스티	36810	2	2	1	2	2024
엑세스바이오	950130	1	1	1	1	2022
엑시큐어하이트론	19490	1	2	1	1	2024
엔씨소프트	36570	4	1	4	5	2020
엔씨소프트	36570	5	4	5	5	2021
엔씨소프트	36570	5	4	5	5	2022
엔씨소프트	36570	5	4	5	5	2023
엔씨소프트	36570	5	4	6	5	2024
엔에스쇼핑	138250	4	2	4	5	2020
엔에스쇼핑	138250	5	5	5	5	2021
엔에이치엔	181710	3	1	4	4	2020
엔에이치엔	181710	4	2	5	5	2021
엔에이치엔	181710	5	4	5	5	2022
엔에이치엔	181710	5	4	6	5	2023
엔에이치엔	181710	5	5	6	5	2024
엔지켐생명과학	183490	2	1	2	3	2020
엔지켐생명과학	183490	2	1	2	3	2021
엔지켐생명과학	183490	1	1	1	1	2022
엔케이	85310	2	3	2	2	2020
엔케이	85310	2	3	2	2	2021
엔케이	85310	1	1	1	1	2022
엔케이	85310	2	1	2	2	2023
엔케이	85310	1	1	1	1	2024
엔케이맥스	182400	2	1	3	3	2021
엔케이맥스	182400	1	1	1	1	2023
엔케이맥스	182400	1	1	1	1	2024
엔케이물산	9810	2	1	2	2	2020
엔케이물산	9810	2	1	2	2	2021
엔켐	348370	2	2	2	2	2023
엔켐	348370	1	2	2	1	2024
엔피씨	4250	2	2	2	2	2020
엔피씨	4250	2	2	1	2	2021
엔피씨	4250	1	1	2	1	2022
엔피씨	4250	1	2	2	1	2023
엔피씨	4250	1	2	2	1	2024
엘브이엠씨	900140	1	1	1	2	2022
엘비세미콘	61970	2	3	3	2	2021
엘비세미콘	61970	1	2	2	1	2022
엘앤씨바이오	290650	2	1	2	4	2021
엘앤씨바이오	290650	2	1	1	4	2022
엘앤씨바이오	290650	2	1	1	4	2023
엘앤씨바이오	290650	2	1	1	4	2024
엘앤에프	66970	3	3	4	3	2020
엘앤에프	66970	4	3	4	4	2021
엘앤에프	66970	2	1	3	2	2022
엘앤에프	66970	2	3	3	2	2023
엘앤에프	66970	3	4	5	2	2024
엘에스일렉트릭	10120	5	4	6	4	2021
엘에스일렉트릭	10120	5	4	5	5	2022
엘에스일렉트릭	10120	5	5	6	5	2023
엘에스일렉트릭	10120	5	5	5	5	2024
엠로	58970	1	1	1	2	2024
엠씨넥스	97520	2	2	3	3	2021
엠씨넥스	97520	2	2	2	3	2023
엠씨넥스	97520	3	2	4	4	2024
엠투엔	33310	1	1	1	1	2022
영보화학	14440	3	3	3	3	2020
영보화학	14440	3	3	2	3	2021
영보화학	14440	1	2	2	1	2022
영보화학	14440	1	2	2	1	2023
영보화학	14440	1	2	2	1	2024
영원무역	111770	3	1	3	4	2020
영원무역	111770	4	4	4	4	2021
영원무역	111770	4	2	4	4	2022
영원무역	111770	4	4	4	4	2023
영원무역	111770	4	4	4	4	2024
영원무역홀딩스	9970	3	1	3	3	2020
영원무역홀딩스	9970	5	4	4	5	2021
영원무역홀딩스	9970	2	2	4	2	2022
영원무역홀딩스	9970	4	4	4	4	2023
영원무역홀딩스	9970	5	4	4	5	2024
영진약품	3520	3	1	4	4	2020
영진약품	3520	4	4	5	4	2021
영진약품	3520	4	4	4	3	2022
영진약품	3520	4	4	5	4	2023
영진약품	3520	4	4	5	4	2024
영풍	670	2	1	3	1	2020
영풍	670	2	1	2	4	2021
영풍	670	3	2	4	3	2022
영풍	670	4	4	4	3	2023
영풍	670	3	2	3	4	2024
영풍정밀	36560	3	3	3	3	2020
영풍정밀	36560	2	1	2	4	2021
영풍정밀	36560	3	2	3	4	2022
영풍정밀	36560	3	2	3	4	2023
영풍정밀	36560	4	4	5	4	2024
영풍제지	6740	3	3	2	3	2020
영풍제지	6740	3	3	2	3	2021
영풍제지	6740	1	2	1	1	2022
영풍제지	6740	1	2	1	1	2023
영풍제지	6740	1	2	1	1	2024
영화금속	12280	3	3	2	3	2020
영화금속	12280	2	2	2	4	2021
영화금속	12280	1	1	1	2	2022
영화금속	12280	2	2	1	2	2023
영화금속	12280	1	2	1	1	2024
영흥	12160	3	2	3	4	2021
영흥	12160	2	1	1	3	2022
영흥	12160	2	2	2	2	2023
영흥	12160	2	2	1	2	2024
영흥철강	12160	3	2	3	4	2020
예스코홀딩스	15360	3	1	4	4	2020
예스코홀딩스	15360	4	3	4	4	2021
예스코홀딩스	15360	3	2	3	3	2022
예스코홀딩스	15360	3	2	3	4	2023
오뚜기	7310	4	4	5	3	2020
오뚜기	7310	5	4	6	4	2021
오뚜기	7310	2	2	4	2	2022
오뚜기	7310	4	4	5	4	2023
오뚜기	7310	5	5	6	4	2024
오렌지라이프	79440				5	2020
오리엔트바이오	2630	2	3	3	2	2020
오리엔트바이오	2630	2	1	2	2	2021
오리엔트바이오	2630	1	1	1	1	2022
오리엔트바이오	2630	1	1	1	1	2023
오리엔트바이오	2630	1	1	1	1	2024
오리온	271560	4	3	4	5	2020
오리온	271560	5	5	5	4	2021
오리온	271560	5	4	5	5	2022
오리온	271560	5	5	5	4	2023
오리온	271560	5	5	5	4	2024
오리온홀딩스	1800	4	2	4	5	2020
오리온홀딩스	1800	5	5	5	5	2021
오리온홀딩스	1800	5	4	5	5	2022
오리온홀딩스	1800	5	5	5	5	2023
오리온홀딩스	1800	5	5	5	5	2024
오리콤	10470	3	1	4	4	2020
오리콤	10470	3	1	4	4	2021
오리콤	10470	2	1	2	2	2022
오리콤	10470	3	1	2	4	2023
오리콤	10470	3	1	2	4	2024
오스코텍	39200	2	1	2	2	2020
오스코텍	39200	2	1	2	3	2021
오스코텍	39200	1	1	1	1	2022
오스코텍	39200	1	1	2	1	2023
오스코텍	39200	1	1	1	1	2024
오스템임플란트	48260	2	1	3	2	2020
오스템임플란트	48260	2	2	4	1	2021
오스템임플란트	48260	1	1	1	1	2022
오이솔루션	138080	3	1	3	4	2021
오이솔루션	138080	2	1	1	3	2022
오하임아이엔티	309930	1	1	1	2	2022
온타이드	5320	1	1	1	1	2024
올릭스	226950	3	1	3	4	2020
와이솔	122990	2	1	4	3	2021
와이엔텍	67900	2	1	2	2	2020
와이즈버즈	273060	3	1	3	4	2021
와이즈버즈	273060	1	1	1	2	2022
와이즈버즈	273060	2	1	1	3	2023
와이즈버즈	273060	1	1	1	2	2024
와이지-원	19210	3	1	4	3	2020
와이지엔터테인먼트	122870	2	1	3	2	2020
와이지엔터테인먼트	122870	3	1	3	3	2021
와이지엔터테인먼트	122870	2	2	4	1	2022
와이지엔터테인먼트	122870	2	4	5	1	2023
와이지엔터테인먼트	122870	3	5	2	4	2024
와이투솔루션	11690	1	1	1	2	2022
와이투솔루션	11690	2	2	2	2	2023
와이투솔루션	11690	2	2	2	2	2024
용평리조트	70960	3	2	3	3	2020
용평리조트	70960	2	2	2	3	2021
용평리조트	70960	1	2	1	1	2022
용평리조트	70960	1	2	1	1	2023
우리들제약	4720	2	1	3	2	2020
우리들휴브레인	118000	2	1	2	3	2020
우리들휴브레인	118000	3	1	3	3	2021
우리종금	10050	3	1	3	3	2020
우리종금	10050	3	1	4	3	2021
우리종금	10050	4	4	5	4	2023
우리종합금융	10050	3	2	3	4	2022
우리종합금융	10050				4	2024
우리카드	879070				4	2020
우리카드	879070				4	2021
우리카드	879070				4	2022
우리카드	879070				4	2023
우리카드	879070				5	2024
우성	6980	2	1	2	3	2022
우성	6980	2	1	2	2	2023
우성	6980	1	1	2	1	2024
우성사료	6980	2	1	2	2	2020
우성사료	6980	2	1	2	4	2021
우신시스템	17370	4	3	3	4	2020
우신시스템	17370	3	2	2	4	2021
우신시스템	17370	1	1	1	2	2022
우신시스템	17370	2	1	1	3	2023
우신시스템	17370	2	1	1	3	2024
우진	105840	4	3	3	4	2020
우진	105840	3	2	2	4	2021
우진	105840	2	1	2	3	2022
우진	105840	2	1	2	2	2023
우진	105840	2	1	2	3	2024
우진아이엔에스	10400	2	2	2	4	2020
우진아이엔에스	10400	2	2	2	4	2021
우진아이엔에스	10400	2	1	1	3	2022
우진아이엔에스	10400	2	2	1	3	2023
우진아이엔에스	10400	2	2	2	3	2024
우진플라임	49800	3	3	3	3	2020
우진플라임	49800	3	3	2	3	2021
우진플라임	49800	1	1	1	1	2022
우진플라임	49800	2	2	1	2	2023
우진플라임	49800	1	2	1	1	2024
웅진	16880	3	1	3	4	2020
웅진	16880	3	1	4	4	2021
웅진	16880	2	2	4	2	2022
웅진	16880	4	3	5	3	2023
웅진	16880	3	2	4	3	2024
웅진씽크빅	95720	3	1	3	3	2020
웅진씽크빅	95720	4	3	5	4	2021
웅진씽크빅	95720	4	2	4	4	2022
웅진씽크빅	95720	4	4	6	3	2023
웅진씽크빅	95720	3	3	6	2	2024
원림	5820	2	1	3	2	2020
원림	5820	2	1	3	3	2021
원림	5820	1	1	1	2	2022
원림	5820	2	2	1	2	2023
원림	5820	1	1	1	2	2024
원익IPS	240810	3	2	4	4	2020
원익IPS	240810	4	4	5	4	2021
원익IPS	240810	3	2	4	3	2022
원익IPS	240810	3	3	4	3	2023
원익IPS	240810	3	3	5	2	2024
원익QnC	74600	1	1	2	2	2022
원익QnC	74600	4	3	5	3	2023
원익QnC	74600	2	4	5	1	2024
원익머트리얼즈	104830	2	2	3	3	2021
원익머트리얼즈	104830	2	2	3	3	2022
원익머트리얼즈	104830	4	4	5	3	2023
원익홀딩스	30530	3	3	2	3	2021
원익홀딩스	30530	2	2	3	1	2022
원익홀딩스	30530	2	2	4	1	2023
원텍	336570	1	1	1	1	2024
웰바이오텍	10600	3	1	3	3	2020
웰바이오텍	10600	3	1	3	3	2021
웰바이오텍	10600	1	1	1	1	2022
웰바이오텍	10600	1	1	1	1	2023
웰바이오텍	10600	1	1	1	1	2024
웹젠	69080	3	1	3	4	2020
웹젠	69080	3	1	3	4	2021
웹젠	69080	2	1	2	2	2022
웹젠	69080	3	1	2	4	2023
웹젠	69080	3	1	2	4	2024
위닉스	44340	2	2	2	4	2021
위메이드	112040	3	1	3	3	2020
위메이드	112040	3	1	2	4	2021
위메이드	112040	2	3	4	2	2022
위메이드	112040	2	4	4	2	2023
위메이드	112040	2	4	5	2	2024
위지윅스튜디오	299900	1	1	1	2	2023
윌비스	8600	2	1	2	2	2020
윌비스	8600	2	1	1	4	2021
윌비스	8600	1	1	1	2	2022
윌비스	8600	1	1	2	1	2023
윌비스	8600	1	1	2	1	2024
유나이티드	33270	3	3	4	3	2020
유나이티드	33270	3	2	3	4	2021
유나이티드	33270	3	2	2	4	2022
유나이티드	33270	3	2	3	4	2023
유나이티드	33270	4	3	4	4	2024
유니드	14830	3	3	3	3	2020
유니드	14830	4	3	4	4	2021
유니드	14830	3	2	4	3	2022
유니드	14830	4	4	4	3	2023
유니드	14830	3	3	4	3	2024
유니드비티플러스	446070	2	2	2	2	2024
유니슨	18000	1	1	1	2	2022
유니슨	18000	2	2	2	2	2023
유니슨	18000	2	2	2	3	2024
유니온	910	2	2	3	2	2020
유니온	910	3	3	3	3	2021
유니온	910	2	2	2	3	2022
유니온	910	2	2	2	3	2023
유니온	910	2	2	2	3	2024
유니온머티리얼	47400	3	3	3	3	2020
유니온머티리얼	47400	3	3	2	3	2021
유니온머티리얼	47400	1	1	1	2	2022
유니온머티리얼	47400	2	2	1	2	2023
유니온머티리얼	47400	2	2	1	2	2024
유니켐	11330	3	3	2	3	2020
유니켐	11330	3	2	2	4	2021
유니켐	11330	1	1	1	1	2022
유니켐	11330	1	2	2	1	2023
유니켐	11330	1	2	1	1	2024
유니퀘스트	77500	3	1	2	4	2020
유니퀘스트	77500	3	3	2	4	2021
유니퀘스트	77500	1	1	1	1	2022
유니퀘스트	77500	2	1	1	3	2023
유니퀘스트	77500	1	1	1	2	2024
유니테스트	86390	2	1	2	2	2023
유니테스트	86390	2	1	2	2	2024
유바이오로직스	206650	1	1	1	1	2022
유바이오로직스	206650	1	1	2	1	2023
유비쿼스홀딩스	78070	3	1	3	4	2021
유성기업	2920	2	3	2	2	2020
유성기업	2920	2	3	1	2	2021
유성기업	2920	2	2	2	2	2022
유성기업	2920	2	2	2	2	2023
유성기업	2920	2	2	2	3	2024
유수홀딩스	700	3	2	3	4	2020
유수홀딩스	700	4	1	3	5	2021
유수홀딩스	700	4	3	4	4	2022
유수홀딩스	700	4	4	5	4	2023
유수홀딩스	700	4	4	5	4	2024
유양디앤유	11690	1	2	2	1	2020
유엔젤	72130	2	3	2	2	2020
유엔젤	72130	2	1	2	3	2021
유엔젤	72130	1	1	1	1	2022
유엔젤	72130	1	1	1	1	2023
유엔젤	72130	1	1	1	1	2024
유유제약	220	3	3	2	3	2020
유유제약	220	3	1	3	4	2021
유유제약	220	2	1	3	1	2022
유유제약	220	1	1	2	1	2023
유유제약	220	2	1	2	2	2024
유진기업	23410	2	2	4	2	2020
유진기업	23410	2	2	3	3	2021
유진기업	23410	1	1	2	1	2022
유진기업	23410	1	2	1	1	2023
유진기업	23410	1	1	1	1	2024
유진테크	84370	3	2	3	4	2021
유진테크	84370	1	1	2	2	2022
유진테크	84370	3	2	3	3	2023
유진테크	84370	2	2	2	2	2024
유틸렉스	263050	3	1	3	4	2021
유한양행	100	4	4	4	4	2020
유한양행	100	4	4	5	4	2021
유한양행	100	4	3	5	4	2022
유한양행	100	5	4	6	5	2023
유한양행	100	5	4	6	5	2024
윤성에프앤씨	372170	2	2	1	2	2024
율촌화학	8730	3	2	4	4	2020
율촌화학	8730	3	3	3	4	2021
율촌화학	8730	2	2	2	2	2022
율촌화학	8730	1	2	2	1	2023
율촌화학	8730	2	2	2	2	2024
이건산업	8250	3	2	3	3	2020
이건산업	8250	2	1	2	4	2021
이건산업	8250	1	1	2	1	2022
이건산업	8250	1	1	2	1	2023
이건산업	8250	1	1	1	1	2024
이구산업	25820	3	3	2	3	2020
이구산업	25820	3	3	2	4	2021
이구산업	25820	2	2	2	2	2022
이구산업	25820	2	2	1	2	2023
이구산업	25820	2	2	1	3	2024
이노션	214320	4	1	5	5	2020
이노션	214320	5	4	5	5	2021
이노션	214320	4	3	5	4	2022
이노션	214320	4	5	5	4	2023
이노션	214320	5	5	6	4	2024
이녹스첨단소재	272290	2	2	3	3	2020
이녹스첨단소재	272290	3	3	1	4	2021
이녹스첨단소재	272290	2	2	2	2	2022
이녹스첨단소재	272290	4	4	4	4	2023
이녹스첨단소재	272290	4	4	3	4	2024
이니텍	53350	3	1	3	3	2020
이니텍	53350	3	3	4	3	2021
이니텍	53350	3	2	4	3	2022
이니텍	53350	4	3	4	4	2023
이니텍	53350	3	2	2	4	2024
이마트	139480	5	5	6	5	2020
이마트	139480	5	5	5	5	2021
이마트	139480	5	6	5	4	2022
이마트	139480	5	5	4	5	2023
이마트	139480	5	5	5	5	2024
이수페타시스	7660	3	4	4	2	2020
이수페타시스	7660	3	3	5	2	2021
이수페타시스	7660	2	3	4	1	2022
이수페타시스	7660	2	3	4	2	2023
이수페타시스	7660	3	4	5	2	2024
이수화학	5950	2	3	3	2	2020
이수화학	5950	3	3	4	3	2021
이수화학	5950	2	3	4	1	2022
이수화학	5950	2	3	3	1	2023
이수화학	5950	3	4	4	2	2024
이스타코	15020	2	1	2	3	2020
이스타코	15020	2	1	2	3	2021
이스타코	15020	1	1	1	2	2022
이스타코	15020	1	1	1	2	2023
이스타코	15020	1	1	1	1	2024
이아이디	93230	1	1	2	2	2020
이아이디	93230	1	1	2	2	2021
이아이디	93230	1	1	1	1	2022
이아이디	93230	1	1	1	1	2023
이아이디	93230	1	1	1	1	2024
이엔에프테크놀로지	102710	2	1	3	2	2021
이엔에프테크놀로지	102710	1	1	2	1	2022
이엔에프테크놀로지	102710	2	2	3	1	2023
이엔플러스	74610	2	1	3	3	2021
이엔플러스	74610	1	1	2	1	2022
이엔플러스	74610	1	2	1	1	2023
이엔플러스	74610	1	2	1	1	2024
이엠텍	91120	1	1	1	2	2024
이연제약	102460	2	1	3	3	2020
이연제약	102460	3	1	3	4	2021
이연제약	102460	2	1	1	4	2022
이연제약	102460	2	1	1	4	2023
이연제약	102460	2	1	1	4	2024
이오테크닉스	39030	3	3	3	3	2020
이오테크닉스	39030	2	1	2	3	2021
이오테크닉스	39030	1	1	1	2	2022
이오테크닉스	39030	2	2	1	3	2023
이오테크닉스	39030	1	2	1	1	2024
이오플로우	294090	2	1	2	3	2023
이오플로우	294090	2	1	2	3	2024
이월드	84680	2	1	2	3	2020
이월드	84680	2	1	2	3	2021
이월드	84680	1	1	2	1	2022
이월드	84680	1	1	1	1	2023
이월드	84680	1	1	1	1	2024
이지홀딩스	35810	2	1	3	2	2021
이테크건설	16250	3	3	4	3	2020
이화산업	760	2	2	2	2	2020
이화산업	760	2	1	2	3	2021
이화산업	760	1	1	1	1	2022
이화산업	760	2	2	1	2	2023
이화산업	760	1	2	1	1	2024
인디에프	14990	2	1	3	3	2020
인디에프	14990	2	1	3	3	2021
인디에프	14990	1	1	1	2	2022
인디에프	14990	1	1	1	2	2023
인디에프	14990	1	1	1	2	2024
인바이오젠	101140	2	1	2	2	2021
인바이오젠	101140	1	1	1	1	2022
인바이오젠	101140	1	1	1	1	2023
인바이오젠	101140	1	1	1	1	2024
인선이엔티	60150	2	2	2	3	2020
인선이엔티	60150	2	3	3	2	2021
인선이엔티	60150	1	2	2	1	2022
인선이엔티	60150	3	2	3	3	2023
인선이엔티	60150	2	2	2	2	2024
인스코비	6490	2	3	2	2	2020
인스코비	6490	2	1	2	3	2021
인스코비	6490	1	1	1	1	2022
인스코비	6490	1	1	1	1	2023
인스코비	6490	1	1	1	1	2024
인지컨트롤스	23800	2	2	3	2	2020
인지컨트롤스	23800	2	1	2	3	2021
인지컨트롤스	23800	1	1	2	1	2022
인지컨트롤스	23800	2	2	2	2	2023
인지컨트롤스	23800	2	2	2	2	2024
인천도시가스	34590	3	2	3	4	2020
인천도시가스	34590	2	1	2	3	2021
인천도시가스	34590	2	1	3	3	2022
인천도시가스	34590	3	1	3	4	2023
인천도시가스	34590	3	1	3	4	2024
인크로스	216050	2	1	2	3	2020
인크로스	216050	3	1	2	4	2021
인크로스	216050	2	1	2	3	2022
인크로스	216050	3	1	2	4	2023
인크로스	216050	3	1	2	4	2024
인탑스	49070	3	2	4	4	2022
인탑스	49070	2	2	4	2	2023
인탑스	49070	3	2	4	3	2024
인터지스	129260	4	3	3	4	2020
인터지스	129260	3	3	2	4	2021
인터지스	129260	2	2	3	2	2022
인터지스	129260	2	2	2	2	2023
인터지스	129260	2	2	2	2	2024
인터파크	35080	2	1	2	3	2022
인터플렉스	51370	2	3	3	2	2020
인터플렉스	51370	3	3	2	3	2021
인터플렉스	51370	1	2	1	1	2022
인터플렉스	51370	1	2	2	1	2023
인터플렉스	51370	2	2	3	2	2024
인텔리안테크	189300	2	1	2	3	2023
인텔리안테크	189300	2	3	3	2	2024
인트론바이오	48530	3	3	2	3	2020
인트론바이오	48530	2	2	2	3	2021
인트론바이오	48530	2	1	1	3	2022
인팩	23810	2	2	2	3	2020
인팩	23810	2	1	2	4	2021
인팩	23810	2	1	2	3	2022
인팩	23810	2	2	2	3	2023
인팩	23810	2	2	1	2	2024
일동제약	249420	5	4	6	4	2020
일동제약	249420	5	4	5	5	2021
일동제약	249420	3	2	6	3	2022
일동제약	249420	4	4	6	3	2023
일동제약	249420	5	5	5	4	2024
일동홀딩스	230	4	3	5	4	2020
일동홀딩스	230	5	4	5	5	2021
일동홀딩스	230	4	2	6	4	2022
일동홀딩스	230	5	4	6	4	2023
일동홀딩스	230	4	5	5	4	2024
일성건설	13360	3	3	3	3	2020
일성건설	13360	3	3	2	4	2021
일성건설	13360	1	1	1	2	2022
일성건설	13360	1	2	1	1	2023
일성건설	13360	1	2	1	1	2024
일성신약	3120	2	1	3	3	2020
일성신약	3120	2	1	2	4	2021
일성신약	3120	1	1	1	1	2022
일성아이에스	3120	2	1	2	3	2023
일성아이에스	3120	1	1	1	2	2024
일신방직	3200	3	3	3	3	2020
일신방직	3200	4	3	3	5	2021
일신방직	3200	1	2	2	1	2022
일신방직	3200	1	2	2	1	2023
일신방직	3200	1	2	2	1	2024
일신석재	7110	2	1	2	3	2020
일신석재	7110	2	1	2	3	2021
일신석재	7110	1	1	1	2	2022
일신석재	7110	1	1	1	2	2023
일신석재	7110	1	1	1	1	2024
일양약품	7570	3	1	3	4	2020
일양약품	7570	2	1	2	4	2021
일양약품	7570	2	1	2	4	2022
일양약품	7570	2	1	2	4	2023
일양약품	7570	2	1	2	4	2024
일정실업	8500	2	2	2	2	2020
일정실업	8500	2	2	2	2	2021
일정실업	8500	1	1	1	2	2022
일정실업	8500	1	1	1	2	2023
일정실업	8500	1	1	1	1	2024
일진다이아	81000	2	2	3	3	2020
일진다이아	81000	2	1	2	3	2021
일진다이아	81000	1	1	1	2	2022
일진다이아	81000	1	1	1	2	2023
일진다이아	81000	1	1	1	2	2024
일진디스플	20760	3	3	3	3	2020
일진디스플	20760	3	3	3	3	2021
일진디스플	20760	1	1	1	2	2022
일진디스플	20760	2	2	1	2	2023
일진디스플	20760	2	2	1	3	2024
일진머티리얼즈	20150	2	3	2	2	2020
일진머티리얼즈	20150	2	2	2	3	2021
일진머티리얼즈	20150	1	1	1	1	2022
일진전기	103590	2	2	3	2	2020
일진전기	103590	2	2	2	3	2021
일진전기	103590	1	1	2	1	2022
일진전기	103590	1	2	2	1	2023
일진전기	103590	1	2	2	1	2024
일진하이솔루스	271940	2	2	3	2	2023
일진하이솔루스	271940	2	2	2	2	2024
일진홀딩스	15860	3	2	3	3	2020
일진홀딩스	15860	2	2	2	3	2021
일진홀딩스	15860	2	1	2	3	2022
일진홀딩스	15860	3	1	2	4	2023
일진홀딩스	15860	3	2	2	4	2024
잇츠한불	226320	3	2	3	3	2020
잇츠한불	226320	4	4	3	4	2021
잇츠한불	226320	2	1	2	3	2022
잇츠한불	226320	2	2	2	3	2023
잇츠한불	226320	2	2	2	3	2024
자이에스앤디	317400	3	2	3	4	2021
자이에스앤디	317400	3	2	4	4	2022
자이에스앤디	317400	2	2	3	3	2023
자이에스앤디	317400	3	2	4	3	2024
자화전자	33240	3	3	4	3	2020
자화전자	33240	2	2	2	4	2021
자화전자	33240	1	1	2	2	2022
자화전자	33240	1	2	2	1	2023
자화전자	33240	2	2	1	2	2024
전방	950	2	2	4	2	2020
전방	950	2	2	3	3	2021
전방	950	1	2	2	1	2022
전방	950	1	2	2	1	2023
전방	950	1	2	1	1	2024
제넥신	95700	3	1	4	3	2020
제넥신	95700	2	1	3	3	2021
제넥신	95700	1	1	2	1	2022
제넥신	95700	1	1	2	1	2023
제넥신	95700	2	1	2	3	2024
제이시스메디칼	287410	2	1	1	3	2024
제이앤티씨	204270	1	1	1	1	2022
제이앤티씨	204270	2	2	1	2	2024
제이에스코퍼레이션	194370	2	1	2	4	2020
제이에스코퍼레이션	194370	2	1	2	4	2021
제이에스코퍼레이션	194370	2	1	1	3	2022
제이에스코퍼레이션	194370	1	1	1	2	2023
제이에스코퍼레이션	194370	2	1	1	4	2024
제이준코스메틱	25620	2	1	2	3	2020
제이준코스메틱	25620	2	1	2	3	2021
